출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1868 :  29  30  30  29* 30  29  29  30  29  30  30  29 : 383(29)
1869 :  30  30  30  29  29  30  29  29  30  29  30  29 : 354
1870 :  30  30  30  29  30  29  30  29  29  30* 30  29 : 384(29)
1871 :  30  30  29  30  30  29  30  29  30  29  29  30 : 355
1872 :  29  30  29  30  30  29  30  29  30  30  29  30 : 355
1873 :  29  29  30  29  30  29* 30  29  30  30  29  30 : 384(30)
1874 :  29  29  30  29  30  29  30  29  30  30  30  29 : 354
1875 :  30  29  29  30  29  29  30  29  30  30  30  29 : 354
1876 :  30  30  29  29  30* 29  30  29  30  30  29  30 : 384(29)
1877 :  30  30  29  29  30  29  29  30  29  30  29  30 : 354
1878 :  30  30  29  30  29  30  29  29  30  29  30  29 : 354
1879 :  30  30  29* 30  29  30  29  29  30  29  30  29 : 384(30)
1880 :  30  29  30  30  29  30  30  29  30  29  29  30 : 355
1881 :  29  30  29  30  29  30  30* 30  30  29  30  29 : 384(29)
1882 :  29  30  29  30  29  30  29  30  30  29  30  30 : 355
1883 :  29  29  30  29  29  30  29  30  30  30  29  30 : 354
1884 :  30  29  29  30  29* 30  29  30  30  29  30  30 : 384(29)
1885 :  30  29  29  30  29  29  30  29  30  29  30  30 : 354
1886 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1887 :  30  30  29  30* 30  29  29  30  29  30  29  30 : 384(29)
1888 :  30  29  30  30  29  30  29  29  30  29  30  29 : 354
1889 :  30  29  30  30  29  30  29  30  29  30  29  30 : 355
1890 :  29  30* 30  29  30  30  29  30  29  30  29  30 : 384(29)
1891 :  29  30  29  30  29  30  29  30  30  29  30  30 : 355
1892 :  29  29  30  29  29  30* 30  30  29  30  30  30 : 384(29)
1893 :  29  29  30  29  29  30  29  30  29  30  30  30 : 354
1894 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1895 :  30  29  30  29  30* 29  30  29  30  29  30  29 : 383(29)
1896 :  30  30  30  29  30  29  29  30  29  30  29  30 : 355
1897 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
1898 :  30  29  30* 30  30  29  30  29  30  29  30  29 : 384(29)
1899 :  30  29  30  29  30  29  30  30  29  30  29  30 : 355
1900 :  29  30  29  29  30  29  30  30* 30  30  29  30 : 384(29)
1901 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1902 :  30  29  30  29  29  30  29  30  29  30  30  30 : 355
1903 :  29  30  29  30  29* 30  29  29  30  30  29  30 : 383(29)
1904 :  30  30  29  30  29  29  30  29  29  30  30  29 : 354
1905 :  30  30  29  30  30  29  29  30  29  30  29  30 : 355
1906 :  29  30  30  29* 29  30  29  30  29  30  29  30 : 384(30)
1907 :  29  30  29  30  29  30  30  29  30  29  30  29 : 354
1908 :  30  29  29  30  30  29  30  29  30  30  29  30 : 355
1909 :  29  30* 29  30  29  30  29  30  30  30  29  30 : 384(29)
1910 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1911 :  30  29  30  29  29  30* 29  30  30  29  30  30 : 384(29)
1912 :  30  29  30  29  29  30  29  29  30  30  29  30 : 354
1913 :  30  30  29  30  29  29  30  29  29  30  29  30 : 354
1914 :  30  30  29  30  30* 29  30  29  30  29  29  30 : 384(29)
1915 :  30  29  30  30  29  30  29  30  29  30  29  30 : 355
1916 :  29  30  29  30  29  30  30  29  30  29  30  29 : 354
1917 :  30  29* 30  29  30  30  29  30  30  29  30  29 : 384(29)
1918 :  30  29  29  30  29  30  29  30  30  30  29  30 : 355
1919 :  29  30  29  29  30  29  30* 30  30  29  30  30 : 384(29)
1920 :  29  30  29  29  30  29  29  30  30  29  30  30 : 354
1921 :  30  29  30  29  29  30  29  29  30  29  30  30 : 354
1922 :  30  29  30  30  29* 30  29  29  30  29  30  30 : 384(29)
1923 :  29  30  30  29  30  29  30  29  30  29  29  30 : 354
1924 :  30  29  30  29  30  30  29  30  29  30  29  29 : 354
1925 :  30  29  30  30* 30  29  30  30  29  30  29  30 : 385(29)
1926 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1927 :  30  29  29  30  29  30  29  30  30  29  30  30 : 355
1928 :  29  30* 29  30  29  29  30  30  29  30  30  30 : 384(29)
1929 :  29  30  29  29  30  29  29  30  29  30  30  30 : 354
1930 :  29  30  30  29  29  30* 29  30  29  30  30  29 : 383(29)
1931 :  30  30  30  29  29  30  29  29  30  29  30  29 : 354
1932 :  30  30  30  29  30  29  30  29  29  30  29  30 : 355
1933 :  29  30  30  29  30* 29  30  29  30  29  29  30 : 384(30)
1934 :  29  30  29  30  30  29  30  30  29  30  29  30 : 355
1935 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1936 :  30  29  29* 29  30  29  30  29  30  30  30  29 : 384(30)
1937 :  30  29  29  30  29  29  30  29  30  30  30  29 : 354
1938 :  30  30  29  29  30  29  29* 29  30  30  29  30 : 384(30)
1939 :  30  30  29  29  30  29  29  30  29  30  29  30 : 354
1940 :  30  30  29  30  29  30  29  29  30  29  30  29 : 354
1941 :  30  30  29  30  30  29* 29  29  30  29  30  29 : 384(30)
1942 :  30  29  30  30  29  30  30  29  30  29  29  30 : 355
1943 :  29  30  29  30  29  30  30  29  30  30  29  30 : 355
1944 :  29  29  30  29* 29  30  29  30  30  29  30  30 : 384(30)
1945 :  29  29  30  29  29  30  29  30  30  30  29  30 : 354
1946 :  30  29  29  30  29  29  30  29  30  30  29  30 : 354
1947 :  30  30* 29  30  29  29  30  29  30  29  30  30 : 384(29)
1948 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1949 :  30  30  29  30  29  30  29* 30  29  30  29  30 : 384(29)
1950 :  30  29  30  30  29  30  29  29  30  29  30  29 : 354
1951 :  30  29  30  30  29  30  29  30  29  30  29  30 : 355
1952 :  29  30  29  30  29* 30  29  30  29  30  29  30 : 384(30)
1953 :  29  30  29  29  30  30  29  30  30  29  30  30 : 355
1954 :  29  29  30  29  29  30  29  30  30  29  30  30 : 354
1955 :  30  29  29* 29  29  30  29  30  29  30  30  30 : 384(30)
1956 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1957 :  30  29  30  29  30  29  29  30* 30  29  30  30 : 384(29)
1958 :  29  30  30  29  30  29  29  30  29  30  29  30 : 354
1959 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
1960 :  30  29  30  29  30  30* 30  29  30  29  30  29 : 384(29)
1961 :  30  29  30  29  30  29  30  30  29  30  29  30 : 355
1962 :  29  30  29  29  30  29  30  30  29  30  30  29 : 354
1963 :  30  29  30  29* 30  29  30  29  30  30  30  29 : 384(29)
